#Czech language file for VLC Skin Editor
#Author/s: Jiří Pešek (loveczabijak@gmail.com)

#General strings
CHOICE_YES|Ano
WIN_ANCHOR_PRIORITY_TIP|Každá kotva má priority (priority atribut), a kotva s nejvyšší prioritou je vítěz, což znamená, že při přemístění její okno bude pohybovat i ostatnímy. K přerušení efektu, budete muset přesunout okno, jehož kotva má nižší prioritu.
WIN_ANCHOR_BOUNDARIES|Hranice

#Button
WIN_BUTTON_TITLE|Nastavení tlačítka
WIN_BUTTON_UP|Normální obrázek*:
WIN_BUTTON_OVER|Obrázek po najetí myší:
WIN_BUTTON_DOWN|Obrázek po kliknutí:
WIN_BUTTON_ACTION|Akce:
WIN_BUTTON_ATTR|Atributy tlačítka

#Checkbox
WIN_CHECKBOX_TITLE|Nastavení zaškrtávacího pole
WIN_CHECKBOX_UP|Normalní obrázek*:
WIN_CHECKBOX_OVER|Obrázek po najetí myší:
WIN_CHECKBOX_DOWN|Obrázek po kliknutí:
WIN_CHECKBOX_ACTION|Akce:
WIN_CHECKBOX_CONDITION|Podmínka:
WIN_CHECKBOX_CONDITION_TIP|Booleovský výraz uvádí stav zaškrtávacího pole: nepravda -> stav #1, pravda -> stav #2
WIN_CHECKBOX_STATE|Stav zaškrtavacího pole
WIN_CHECKBOX_STATE1|State #1 (Podmínka není splněna):
WIN_CHECKBOX_STATE2|State #2 (Podmínka je splněna):

#Image
WIN_IMAGE_TITLE|Nastavení obrázku
WIN_IMAGE_IMAGE|Obrázek*:
WIN_IMAGE_IMAGE_TIP|ID Bitmapy
WIN_IMAGE_RESIZE|Změna velikosti režimu:
WIN_IMAGE_RESIZE_TIP|Specifikovat chování obrázku při změně velikosti.
WIN_IMAGE_ACTION|Akce:
WIN_IMAGE_ACTION_TIP|Akce vyvolaná kliknutím na obrázek.
WIN_IMAGE_ACTION2|Akce dvojité kliknutí:
WIN_IMAGE_ACTION2_TIP|Akce vyvolané dvojitým kliknutím na obrázek.
WIN_IMAGE_ATTR|Atributy obrázku

#Group
WIN_GROUP_TITLE|Nastavení skupiny

#Panel
WIN_PANEL_TITLE|Nastavení panelu
WIN_PANEL_DIMENSIONS|Rozměry
WIN_PANEL_WIDTH|Šířka*:
WIN_PANEL_HEIGHT|Výška*:

#Playtree
WIN_PLAYTREE_TITLE|Nastavení podstromu
WIN_PLAYTREE_FONT|Font*:
WIN_PLAYTREE_BGIMAGE|Pozadí obrázku:
WIN_PLAYTREE_BGIMAGE_TIP|ID rastru, je použito jako pozadí. Pokud není žádný rastr zadán, bude použita výplň pomocí atributů bgcolor1 and bgcolor2.
WIN_PLAYTREE_BGCOLOR1|Barva pozadí #1:
WIN_PLAYTREE_BGCOLOR2|Barva pozadí #2:
WIN_PLAYTREE_SELCOLOR|Barva výběru:
WIN_PLAYTREE_FGCOLOR|Barva textu:
WIN_PLAYTREE_PLAYCOLOR|Barva textu při přehrávání:
WIN_PLAYTREE_FLAT|Plochý playlist:
WIN_PLAYTREE_FLAT_TIP|Označuje jestli má playlist použít stromovou strukturu nebo být kompletně \"plochý\" (zobrazit listy pouze ze stromu).
WIN_PLAYTREE_ITEMIMAGE|Ikona položky:
WIN_PLAYTREE_OPENIMAGE|Otevřít ikonu složky:
WIN_PLAYTREE_CLOSEDIMAGE|Zavřít ikonu složky:
WIN_PLAYTREE_SLIDER|Upravit posuvník playlistu (rolovací proužek)
WIN_PLAYTREE_ATTR|Atributy podstromu
WIN_PLAYTREE_CHOOSE|Zvolit...
WIN_PLAYTREE_CHOOSER_TITLE|Zvolit barvu

#Slider
WIN_SLIDER_TITLE|Nastavení posuvníku
WIN_SLIDER_UP|Normální obrázek*:
WIN_SLIDER_OVER|Obrázek po najetí:
WIN_SLIDER_DOWN|Obrázek po klepnutí:
WIN_SLIDER_POINTS|Tělo*:
WIN_SLIDER_THICKNESS|Tloušťka:
WIN_SLIDER_VALUE|Hodnota*:
WIN_SLIDER_VALUE_SCROLL|Rolování podstromu
WIN_SLIDER_BG_ENABLE|Zapnout pozadí
WIN_SLIDER_BG_EDIT|Upravit...
WIN_SLIDER_ATTR|Atributy posuvníku
WIN_SLIDER_BG|Pozadí posuvníku

#Slider background
WIN_SBG_TITLE|Nastavení pozadí posuvníku
WIN_SBG_WIZARD|Otevřít generátor pozadí posuvníku...
WIN_SBG_IMAGE|Obrázek*:
WIN_SBG_NBHORIZ|Horizontalní rámy:
WIN_SBG_NBVERT|Svislé rámy:
WIN_SBG_PADHORIZ|Horizontalní vycpávka:
WIN_SBG_PADVERT|Vertikální vycpávka:
WIN_SBG_ATTR|Atributy pozadí

#Text
WIN_TEXT_TITLE|Nastavení písma
WIN_TEXT_TEXT|Text*:
WIN_TEXT_FONT|Font:
WIN_TEXT_COLOR|Barva:
WIN_TEXT_CHOOSE|Vybrat...
WIN_TEXT_CHOOSER_TITLE|Vybrat barvu písma
WIN_TEXT_ALIGNMENT|Zarovnání:
WIN_TEXT_SCROLLING|Rolování:
WIN_TEXT_ATTR|Atributy písma

#Video
WIN_VIDEO_TITLE|Nastavení videa
WIN_VIDEO_AUTORESIZE|Přispůsobit velikost:
WIN_VIDEO_AUTORESIZE_TIP|Uvádí, zda by se měla automaticky změnit velikost okna a odpovídala rozmněrům přehrávaného videa.
WIN_VIDEO_ATTR|Atributy videa
