#Turkish language file for VLC Skin Editor
#Author/s: Kaya Zeren

#General strings
CHOICE_YES|Evet
WIN_WINDOW_DD|Sürükle ve bırak:
WIN_WINDOW_DD_TIP|Medya dosyalarının bu pencereye sürüklenip bırakılmasına izin verilip verilmeyeceğini belirtir.
WIN_WINDOW_PD|Bırakıldığında oynat:
WIN_WINDOW_PD_TIP|Bırakılan bir dosyanın hemen oynatılacağını (true) ya da listeye ekleneceğini (false) belirtir. Sürükle ve bırak "yanlış" olarak ayarlandıysa bu özelliğin bir etkisi olmaz.
WIN_WINDOW_DD_PANEL|Sürükle ve bırak seçenekleri

#Anchor
WIN_ANCHOR_TITLE|Bağlama ayarları
WIN_ANCHOR_POINTS|Noktalar:
WIN_ANCHOR_POINTS_TIP|Bağlamanın takip edeceği Bezier eğrisini tanımlayan noktalar. Yalnızca nokta bir bağlantı istiyorsanız bu ayarı değiştirmenize gerek yoktur.
WIN_ANCHOR_RANGE|Bölge:
WIN_ANCHOR_RANGE_TIP|Piksel olarak bağlantının etkin olacağı bölge.
WIN_ANCHOR_PRIORITY|Öncelik*:
WIN_ANCHOR_PRIORITY_TIP|Her bağlantının bir önceliği vardır ve en yüksek öncelikli bağlantı en öndedir. Yani öncelikli bir pencere taşınırken tüm diğer bağlantılı pencereler de taşınır. Birbirine bağlı iki pencereyi ayrı taşımak için, daha düşük önceliğe sahip pencereyi taşımalısınız.
WIN_ANCHOR_BOUNDARIES|Sınırlar

#Button
WIN_BUTTON_TITLE|Düğme ayarları
WIN_BUTTON_UP|Normal resim*:
WIN_BUTTON_OVER|Üzerine gelindiğindeki resim:
WIN_BUTTON_DOWN|Tıklandığındaki resim:
WIN_BUTTON_ACTION|Eylem:
WIN_BUTTON_ATTR|Düğme Özellikleri

#Checkbox
WIN_CHECKBOX_TITLE|İşaret kutusu ayarları
WIN_CHECKBOX_UP|Normal resim*:
WIN_CHECKBOX_OVER|Üzerine gelindiğindeki resim:
WIN_CHECKBOX_DOWN|Tıklandığındaki resim:
WIN_CHECKBOX_ACTION|Eylem:
WIN_CHECKBOX_CONDITION|Koşul:
WIN_CHECKBOX_CONDITION_TIP|İşaret kutusunun durumunu açıklayan ikili formül: false -> durum #1, true -> durum #2
WIN_CHECKBOX_STATE|İşaret kutusu durumu
WIN_CHECKBOX_STATE1|Durum #1 (Koşul sağlanmadı):
WIN_CHECKBOX_STATE2|Durum #2 (Koşul sağlandı):

#Image
WIN_IMAGE_TITLE|Resim ayarları
WIN_IMAGE_IMAGE|Resim*:
WIN_IMAGE_IMAGE_TIP|Bitmap kimliği
WIN_IMAGE_RESIZE|Boyutlandırma kipi:
WIN_IMAGE_RESIZE_TIP|Resmin yeniden boyutlandırıldığındaki davranışını belirtin.
WIN_IMAGE_ACTION|Eylem:
WIN_IMAGE_ACTION_TIP|Resim üzerine tıklandığında yürütülecek eylem.
WIN_IMAGE_ACTION2|Çift tık eylemi:
WIN_IMAGE_ACTION2_TIP|Resim üzerine çift tıklandığında yürütülecek eylem.
WIN_IMAGE_ATTR|Resim özellikleri

#Group
WIN_GROUP_TITLE|Grup ayarları

#Panel
WIN_PANEL_TITLE|Panel ayarları
WIN_PANEL_DIMENSIONS|Boyutlar
WIN_PANEL_WIDTH|Genişlik*:
WIN_PANEL_HEIGHT|Yükseklik*:

#Playtree
WIN_PLAYTREE_TITLE|Oyun ağacı ayarları
WIN_PLAYTREE_FONT|Yazı tipi*:
WIN_PLAYTREE_BGIMAGE|Art alan resmi:
WIN_PLAYTREE_BGIMAGE_TIP|Art alan resmi olarak kullanılacak Bitmap kimliği. Hiç bitmap belirtilmemişse art alan bgcolor1 ve bgcolor2 ayarları kullanılarak doldurulur.
WIN_PLAYTREE_BGCOLOR1|Art alan rengi #1:
WIN_PLAYTREE_BGCOLOR2|Art alan rengi #2:
WIN_PLAYTREE_SELCOLOR|Seçim rengi:
WIN_PLAYTREE_FGCOLOR|Yazı rengi:
WIN_PLAYTREE_PLAYCOLOR|Oynatılıyor yazısı rengi:
WIN_PLAYTREE_FLAT|Düz oynatma listesi:
WIN_PLAYTREE_FLAT_TIP|Oynatma listesinin ağaç yapısında ya da tamamen \"düz\" (yalnızca ağacın yaprakları gösterilir) olacağını belirtir.
WIN_PLAYTREE_ITEMIMAGE|Öge simgesi:
WIN_PLAYTREE_OPENIMAGE|Açık klasör simgesi:
WIN_PLAYTREE_CLOSEDIMAGE|Kapalı klasör simgesi:
WIN_PLAYTREE_SLIDER|Oynatma listesi kaydırıcısını düzenle
WIN_PLAYTREE_ATTR|Çalma ağacı özellikleri
WIN_PLAYTREE_CHOOSE|Seçin...
WIN_PLAYTREE_CHOOSER_TITLE|Rengi seçin

#Slider
WIN_SLIDER_TITLE|Kaydırıcı ayarları
WIN_SLIDER_UP|Normal resim*:
WIN_SLIDER_OVER|Üzerine gelindiğindeki resim:
WIN_SLIDER_DOWN|Tıklandığındaki resim:
WIN_SLIDER_POINTS|Noktalar*:
WIN_SLIDER_THICKNESS|Kalınlık:
WIN_SLIDER_VALUE|Değer*:
WIN_SLIDER_VALUE_SCROLL|Oynatma ağacı kaydırma
WIN_SLIDER_BG_ENABLE|Art Alanı Etkinleştir
WIN_SLIDER_BG_EDIT|Düzenle...
WIN_SLIDER_ATTR|Kaydırıcı özellikleri
WIN_SLIDER_BG|Kaydırıcı art alanı

#Slider background
WIN_SBG_TITLE|Kaydırıcı art alan ayarları
WIN_SBG_WIZARD|Art Alan Kaydırıcı Üretecini Aç...
WIN_SBG_IMAGE|Resim*:
WIN_SBG_NBHORIZ|Yatay kareler:
WIN_SBG_NBVERT|Dikey kareler:
WIN_SBG_PADHORIZ|Yatay yastıklama:
WIN_SBG_PADVERT|Dikey yastıklama:
WIN_SBG_ATTR|Art alan özellikleri

#Text
WIN_TEXT_TITLE|Yazı ayarları
WIN_TEXT_TEXT|Yazı*:
WIN_TEXT_FONT|Yazı tipi:
WIN_TEXT_COLOR|Renk:
WIN_TEXT_CHOOSE|Seçin...
WIN_TEXT_CHOOSER_TITLE|Yazı rengini seçin
WIN_TEXT_ALIGNMENT|Hiza:
WIN_TEXT_SCROLLING|Kaydırma:
WIN_TEXT_ATTR|Yazı özellikleri

#Video
WIN_VIDEO_TITLE|Görüntü ayarları
WIN_VIDEO_AUTORESIZE|Kendiliğinden boyutlandır:
WIN_VIDEO_AUTORESIZE_TIP|Yerleşimin oynatılan görüntüye uygun olarak kendiliğinden boyutlandırılıp boyutlandırılmayacağını göster.
WIN_VIDEO_ATTR|Görüntü özellikleri
