#Српска језичка датотека за VLC управљач маскама
#Author/s: Charmed94

#General strings
CHOICE_YES|Да
WIN_IMAGE_ATTR|Особине сликâ
#Group
WIN_GROUP_TITLE|Поставке група

#Panel
WIN_PANEL_TITLE|Поставке панела
WIN_PANEL_DIMENSIONS|Димензије
WIN_PANEL_WIDTH|Ширина*:
WIN_PANEL_HEIGHT|Висина*:

#Playtree
WIN_PLAYTREE_TITLE|Поставке стабла
WIN_PLAYTREE_FONT|Фонт*:
WIN_PLAYTREE_BGIMAGE|Слика позадине:
WIN_PLAYTREE_BGIMAGE_TIP|ID битмапа, коришћена као позадина. Када битмапа није унешена, позадина ће бити попуњена уз помоћ bgcolor1 и bgcolor2 особина.
WIN_PLAYTREE_BGCOLOR1|Боја позадине #1:
WIN_PLAYTREE_BGCOLOR2|Боја позадине #2:
WIN_PLAYTREE_SELCOLOR|Боја селекције:
WIN_PLAYTREE_FGCOLOR|Боја текста:
WIN_PLAYTREE_PLAYCOLOR|Репродукција боје текста:
WIN_PLAYTREE_FLAT|Раван списка нумера:
WIN_PLAYTREE_FLAT_TIP|Одређује да ли би списак нумера требао да користи стабласту структуру или у потпуности \„flat\“ (покажи само лишће стабла).
WIN_PLAYTREE_ITEMIMAGE|Икона ставке:
WIN_PLAYTREE_OPENIMAGE|Отвори икону фасцикле:
WIN_PLAYTREE_CLOSEDIMAGE|Затвори икону фасцикле:
WIN_PLAYTREE_SLIDER|Уреди клизач списка нумера
WIN_PLAYTREE_ATTR|Особине стабла
WIN_PLAYTREE_CHOOSE|Изабери...
WIN_PLAYTREE_CHOOSER_TITLE|Изабери боју

#Slider
WIN_SLIDER_TITLE|Поставке клизача
WIN_SLIDER_UP|Нормална слика*:
WIN_SLIDER_OVER|Слика када плута:
WIN_SLIDER_DOWN|Слика када је кликнута:
WIN_SLIDER_POINTS|Поени*:
WIN_SLIDER_THICKNESS|Дебљина:
WIN_SLIDER_VALUE|Вредност*:
WIN_SLIDER_VALUE_SCROLL|Померање стабла
WIN_SLIDER_BG_ENABLE|Омогући позадину
WIN_SLIDER_BG_EDIT|Измени...
WIN_SLIDER_ATTR|Особине клизача
WIN_SLIDER_BG|Позадина клизача

#Slider background
WIN_SBG_TITLE|Поставке позадине клизача
WIN_SBG_WIZARD|Отвори позадину клизача...
WIN_SBG_IMAGE|Слика*:
WIN_SBG_NBHORIZ|Хоризонталне сличице:
WIN_SBG_NBVERT|Вертикалне сличице:
WIN_SBG_PADHORIZ|Хоризонтално постављање:
WIN_SBG_PADVERT|Вертикално постављање:
WIN_SBG_ATTR|Особине позадине

#Text
WIN_TEXT_TITLE|Поставке текста
WIN_TEXT_TEXT|Текст*:
WIN_TEXT_FONT|Фонт:
WIN_TEXT_COLOR|Боја:
WIN_TEXT_CHOOSE|Изабери...
WIN_TEXT_CHOOSER_TITLE|Изабери боју текста
WIN_TEXT_ALIGNMENT|Поравнање:
WIN_TEXT_SCROLLING|Померање:
WIN_TEXT_ATTR|Особине текста

#Video
WIN_VIDEO_TITLE|Видео поставке
WIN_VIDEO_AUTORESIZE|Аутоматски преувеличај:
WIN_VIDEO_AUTORESIZE_TIP|Одређује да ли би план требао да се аутоматски повећа/смањи да одговара димензијама пуштеног видеа.
WIN_VIDEO_ATTR|Видео особине
