#German language file for VLC Skin Editor
#Author/s: Daniel Dreibrodt

#General strings
CHOICE_YES|Ja
WIN_WINDOW_DD|Drag & Drop:
WIN_WINDOW_DD_TIP|Gibt an ob das ziehen & loslassen von Mediendateien in das Fenster erlaubt werden soll
WIN_WINDOW_PD|Sofort abspielen:
WIN_WINDOW_PD_TIP|Gibt an ob Mediendatein die in das Fenster gezogen wurden sofort abgespielt werden sollen oder nur ans Ende der Wiedergabeliste kommen.
WIN_WINDOW_DD_PANEL|Drag & Drop Optionen

#Anchor
WIN_ANCHOR_TITLE|Anchor Einstellungen
WIN_ANCHOR_POINTS|Punkte:
WIN_ANCHOR_POINTS_TIP|Punkte der Bezierkurve die den Anker darstellen. Für einen Punktanker bei (0,0) lassen
WIN_ANCHOR_RANGE|Reichweite:
WIN_ANCHOR_RANGE_TIP|Reichweite des Effektbereichs
WIN_ANCHOR_PRIORITY|Priorität*:
WIN_ANCHOR_PRIORITY_TIP|Stärke des Ankers im Vergleich zu anderen Ankern.
WIN_ANCHOR_BOUNDARIES|Begrenzung

#Button
WIN_BUTTON_TITLE|Button Einstellungen
WIN_BUTTON_UP|Normales Bild*:
WIN_BUTTON_OVER|Bild bei Mausberührung:
WIN_BUTTON_DOWN|Bild bei Mausklick:
WIN_BUTTON_ACTION|Aktion:
WIN_BUTTON_ATTR|Button Attribute

#Checkbox
WIN_CHECKBOX_TITLE|Checkbox Einstellungen
WIN_CHECKBOX_UP|Normales bild*:
WIN_CHECKBOX_OVER|Bild bei Mausberührung:
WIN_CHECKBOX_DOWN|Bild bei Mausklick:
WIN_CHECKBOX_ACTION|Aktion:
WIN_CHECKBOX_CONDITION|Bedingung:
WIN_CHECKBOX_CONDITION_TIP|Bedingung die angibt welchen Status die Checkbox einnimmt.
WIN_CHECKBOX_STATE|Checkbox Status
WIN_CHECKBOX_STATE1|Status 1 (Bedingung nicht erfüllt):
WIN_CHECKBOX_STATE2|Status 2 (Bedingung erfüllt):

#Image
WIN_IMAGE_TITLE|Image Einstellungen
WIN_IMAGE_IMAGE|Bild*:
WIN_IMAGE_IMAGE_TIP|ID eines Bildes
WIN_IMAGE_RESIZE|Größenänderung:
WIN_IMAGE_RESIZE_TIP|Gibt an wie sich das Bild bei Größenänderung verhält
WIN_IMAGE_ACTION|Aktion:
WIN_IMAGE_ACTION_TIP|Aktion die ausgeführt wird, wenn auf das Bild geklickt wird.
WIN_IMAGE_ACTION2|Doppelklick Aktion:
WIN_IMAGE_ACTION2_TIP|Aktion die ausgeführt wird, wenn auf das Bild doppelt geklickt wird.
WIN_IMAGE_ATTR|Image attributes

#Group
WIN_GROUP_TITLE|Group Einstellungen

#Panel
WIN_PANEL_TITLE|Panel Einstellungen
WIN_PANEL_DIMENSIONS|Dimensionen
WIN_PANEL_WIDTH|Breite*:
WIN_PANEL_HEIGHT|Höhe*:

#Playtree
WIN_PLAYTREE_TITLE|Playtree Einstellungen
WIN_PLAYTREE_FONT|Schriftart*:
WIN_PLAYTREE_BGIMAGE|Hintergrundbild:
WIN_PLAYTREE_BGIMAGE_TIP|Wenn kein Bild angegeben wird, wird der Hintergrund abwechselnd mit den beiden Hintergrundfarben gefüllt.
WIN_PLAYTREE_BGCOLOR1|Hintergrundfarbe 1:
WIN_PLAYTREE_BGCOLOR2|Hintergrundfarbe 2:
WIN_PLAYTREE_SELCOLOR|Auswahlfarbe:
WIN_PLAYTREE_FGCOLOR|Textfarbe:
WIN_PLAYTREE_PLAYCOLOR|Wiedergabe Textfarbe:
WIN_PLAYTREE_FLAT|Flache Liste:
WIN_PLAYTREE_FLAT_TIP|Gibt an ob die Liste in Baumstruktur oder "flach" dargestellt werden soll.
WIN_PLAYTREE_ITEMIMAGE|Objektbild:
WIN_PLAYTREE_OPENIMAGE|Offener Ordner Bild:
WIN_PLAYTREE_CLOSEDIMAGE|Geschlossener Ordern Bild:
WIN_PLAYTREE_SLIDER|Playtree Slider bearbeiten
WIN_PLAYTREE_ATTR|Playtree Attribute
WIN_PLAYTREE_CHOOSE|Wählen...
WIN_PLAYTREE_CHOOSER_TITLE|Farbe wählen

#Slider
WIN_SLIDER_TITLE|Slider Einstellungen
WIN_SLIDER_UP|Normales Bild*:
WIN_SLIDER_OVER|Bild bei Mausberührung:
WIN_SLIDER_DOWN|Bild bei Mausklick:
WIN_SLIDER_POINTS|Punkte*:
WIN_SLIDER_THICKNESS|Dicke:
WIN_SLIDER_VALUE|Wert*:
WIN_SLIDER_VALUE_SCROLL|Playtree
WIN_SLIDER_BG_ENABLE|Hintergrund aktivieren
WIN_SLIDER_BG_EDIT|Bearbeiten...
WIN_SLIDER_ATTR|Slider Attribute
WIN_SLIDER_BG|Slider Hintergrund

#Slider background
WIN_SBG_TITLE|SliderBackground Einstellungen
WIN_SBG_WIZARD|Slider Background Generator öffnen...
WIN_SBG_IMAGE|Bild*:
WIN_SBG_NBHORIZ|Horizontale Einzelbilder:
WIN_SBG_NBVERT|Vertikale Einzelbilder:
WIN_SBG_PADHORIZ|Horizontaler Abstand:
WIN_SBG_PADVERT|Vertikaler Abstand:
WIN_SBG_ATTR|Hintergrund Attribute

#Text
WIN_TEXT_TITLE|Text Einstellungen
WIN_TEXT_TEXT|Text*:
WIN_TEXT_FONT|Schriftart:
WIN_TEXT_COLOR|Farbe:
WIN_TEXT_CHOOSE|Wählen...
WIN_TEXT_CHOOSER_TITLE|Textfarbe wählen
WIN_TEXT_ALIGNMENT|Ausrichtung:
WIN_TEXT_SCROLLING|Scrollen:
WIN_TEXT_ATTR|Text Attribute

#Video
WIN_VIDEO_TITLE|Video Einstellungen
WIN_VIDEO_AUTORESIZE|Größe anpassen:
WIN_VIDEO_AUTORESIZE_TIP|Gibt an ob das Fenster der Videogröße entsprechend angepasst wird.
WIN_VIDEO_ATTR|Video Attribute
