#file libreria Linguaggio Italiano per VLC Skin Editor
#Author/s: Lorenzo Marrocchi

#General strings
CHOICE_YES|Si
WIN_ANCHOR_POINTS_TIP|punti che definiscono la curva di Bezier seguita da l'ancora. Non e' necessario cambiare questo parametro, se tutti si desidera e' una puntuale ancoraggio.
WIN_ANCHOR_RANGE|Gamma:
WIN_ANCHOR_RANGE_TIP|Gamma dei tasselli area di effetto, in pixel.
WIN_ANCHOR_PRIORITY|Priorita' *:
WIN_ANCHOR_PRIORITY_TIP|Ogni ancoraggio ha una priorita' (attributo di priorita'), e l'ancora con la priorita' più alta e' il vincitore, il che significa che quando si sposta la sua finestra tutte le altre finestre ancorate si spostera' troppo. Per spezzare l'effetto di 2 finestre ancorate, e' necessario spostare la finestra di cui ancora ha la priorita' più bassa.
WIN_ANCHOR_BOUNDARIES|Confini# Button
WIN_BUTTON_TITLE|impostazioni di Button
WIN_BUTTON_UP|Immagine normale *:
WIN_BUTTON_OVER|immagine quando si librava:
WIN_BUTTON_DOWN|Image quando si fa clic:
WIN_BUTTON_ACTION|Azione:
WIN_BUTTON_ATTR|pulsante Attributi# Casella di controllo
WIN_CHECKBOX_TITLE|Casella di controllo delle impostazioni
WIN_CHECKBOX_UP|Immagine normale *:
WIN_CHECKBOX_OVER|immagine quando si librava:
WIN_CHECKBOX_DOWN|Image quando si fa clic:
WIN_CHECKBOX_ACTION|Azione:
WIN_CHECKBOX_CONDITION|Condizione:
WIN_CHECKBOX_CONDITION_TIP|espressione booleana che specifica lo stato del CheckBox: false -> Stato # 1, true -> Stato # 2
WIN_CHECKBOX_STATE|Casella di controllo dello stato
WIN_CHECKBOX_STATE1|Stato # 1 (condizione non e' soddisfatta):
WIN_CHECKBOX_STATE2|Stato # 2 (condizione e' soddisfatta):# Image
WIN_IMAGE_TITLE|Impostazioni immagini
WIN_IMAGE_IMAGE|Image *:
WIN_IMAGE_IMAGE_TIP|ID di una bitmap
WIN_IMAGE_RESIZE|Ridimensiona modalita':
WIN_IMAGE_RESIZE_TIP|Specificare il comportamento delle immagini quando viene ridimensionato.
WIN_IMAGE_ACTION|Azione:
WIN_IMAGE_ACTION_TIP|Azione attivato da un clic sull'immagine.
WIN_IMAGE_ACTION2|Fare doppio clic su azione:
WIN_IMAGE_ACTION2_TIP|Azione innescata da un doppio clic sull'immagine.
WIN_IMAGE_ATTR|Immagine attributi
WIN_IMAGE_ART|Sostituire l'immagine con copertina, se disponibile# Gruppo
WIN_GROUP_TITLE|impostazioni del gruppo# Pannello
WIN_PANEL_TITLE|Pannello impostazioni
WIN_PANEL_DIMENSIONS|Dimensioni
WIN_PANEL_WIDTH|Larghezza *:
WIN_PANEL_HEIGHT|Altezza *:# Sequenza di riproduzione
WIN_PLAYTREE_TITLE|Passa impostazioni
WIN_PLAYTREE_FONT|Caratteri *:
WIN_PLAYTREE_BGIMAGE|Immagine di sfondo:
WIN_PLAYTREE_BGIMAGE_TIP|ID di una bitmap, usato come immagine di sfondo. Quando non viene specificato bitmap, lo sfondo sara' riempito con il bgcolor1 e bgcolor2 attributi.
WIN_PLAYTREE_BGCOLOR1|colore di sfondo # 1:
WIN_PLAYTREE_BGCOLOR2|colore di sfondo # 2:
WIN_PLAYTREE_SELCOLOR|Selezione colore:
WIN_PLAYTREE_FGCOLOR|Colore del testo:
WIN_PLAYTREE_PLAYCOLOR|Riproduzione colore del testo:
WIN_PLAYTREE_FLAT|Flat :
WIN_PLAYTREE_FLAT_TIP|Indica se la  deve utilizzare la struttura ad albero o essere completamente \ "flat \" (mostra solo le foglie dell'albero).
WIN_PLAYTREE_ITEMIMAGE|Voce icona:
WIN_PLAYTREE_OPENIMAGE|Apri cartella icona:
WIN_PLAYTREE_CLOSEDIMAGE|icona di cartella di chiusura:
WIN_PLAYTREE_SLIDER|Modifica lo scorrimento della scaletta(scrollbar)
WIN_PLAYTREE_ATTR|Passa attributi
WIN_PLAYTREE_CHOOSE|Scegli ...
WIN_PLAYTREE_CHOOSER_TITLE|Scegli il colore# scorrimento
WIN_SLIDER_TITLE|scorrimento impostazioni
WIN_SLIDER_UP|Immagine normale *:
WIN_SLIDER_OVER|immagine quando si librava:
WIN_SLIDER_DOWN|Image quando si fa clic:
WIN_SLIDER_POINTS|Punti *:
WIN_SLIDER_THICKNESS|Spessore:
WIN_SLIDER_VALUE|Valore *:
WIN_SLIDER_VALUE_SCROLL|Passa scorrimento
WIN_SLIDER_BG_ENABLE|Abilita sfondo
WIN_SLIDER_BG_EDIT|Modifica e' ...
WIN_SLIDER_ATTR|scorrimento attributi
WIN_SLIDER_BG|scorrimento sfondo# Sfondo scorrimento
WIN_SBG_TITLE|scorrimento impostazioni di fondo
WIN_SBG_WIZARD|Apri scorrimento generatore sfondo ...
WIN_SBG_IMAGE|Image *:
WIN_SBG_NBHORIZ|telai orizzontali:
WIN_SBG_NBVERT|telai verticali:
WIN_SBG_PADHORIZ|orizzontale padding:
WIN_SBG_PADVERT|verticale padding:
WIN_SBG_ATTR|attributi sfondo # Testo
WIN_TEXT_TITLE|Testo impostazioni
WIN_TEXT_TEXT|Testo *:
WIN_TEXT_FONT|Caratteri:
WIN_TEXT_COLOR|Colore:
WIN_TEXT_CHOOSE|Scegli ...
WIN_TEXT_CHOOSER_TITLE|Scegli il colore del testo
WIN_TEXT_ALIGNMENT|Allineamento:
WIN_TEXT_SCROLLING|Scrolling:
WIN_TEXT_ATTR|Testo attributi# Video
WIN_VIDEO_TITLE|Impostazioni video
WIN_VIDEO_AUTORESIZE|AutoResize:
WIN_VIDEO_AUTORESIZE_TIP|Indicare se la presentazione deve essere ridimensionate automaticamente per adattarsi alle dimensioni del video riprodotto.
WIN_VIDEO_ATTR|Video attributi
