#Dutch language file for VLC Skin Editor
#Author/s: Daniel Dreibrodt
#Translator: Myckel Habets

#General strings
CHOICE_YES|Ja
WIN_ANCHOR_POINTS_TIP|Punten die de Bezier curve gevolgd door het anker aangeven. U hoeft deze parameter niet te veranderen als u alleen maar een puntanker wilt.
WIN_ANCHOR_RANGE|Bereik:
WIN_ANCHOR_RANGE_TIP|Bereik van het anker's gebied van effect, in pixels.
WIN_ANCHOR_PRIORITY|Prioriteit*:
WIN_ANCHOR_PRIORITY_TIP|Elk anker heeft een prioriteit (priotiteit attribuut) en het anker met de hoogste prioriteit is de winnaar, wat betekend dat als u zijn venster verplaatst alle andere verankerde vensters ook zullen verplaatsen/ Om het effect van 2 verankerde vensters te breken, moet u het venster met een lagere prioriteit anker verplaatsen.
WIN_ANCHOR_BOUNDARIES|Begrenzingen

#Button
WIN_BUTTON_TITLE|Knopinstellingen
WIN_BUTTON_UP|Normale afbeelding*:
WIN_BUTTON_OVER|Afbeelding bij muis erover:
WIN_BUTTON_DOWN|Afbeelding bij geklik:
WIN_BUTTON_ACTION|Actie:
WIN_BUTTON_ATTR|Knopattributen

#Checkbox
WIN_CHECKBOX_TITLE|Selectievakje-instellingen
WIN_CHECKBOX_UP|Normale afbeelding*:
WIN_CHECKBOX_OVER|Afbeelding bij muis erover:
WIN_CHECKBOX_DOWN|Afbeelding bij geklik:
WIN_CHECKBOX_ACTION|Actie:
WIN_CHECKBOX_CONDITION|Conditie:
WIN_CHECKBOX_CONDITION_TIP|Booleaanse expressie die de status van het selectievakje aangeeft: fout -> status #1, waar -> status #2
WIN_CHECKBOX_STATE|Selectievakje status
WIN_CHECKBOX_STATE1|Status #1 (Conditie niet bereikt):
WIN_CHECKBOX_STATE2|Status #2 (Condition bereikt):

#Image
WIN_IMAGE_TITLE|Afbeeldingsinstellingen
WIN_IMAGE_IMAGE|Afbeelding*:
WIN_IMAGE_IMAGE_TIP|ID van een Bitmap
WIN_IMAGE_RESIZE|Schalingsmodus:
WIN_IMAGE_RESIZE_TIP|Specificeert het gedrag als de afbeelding geschaald wordt.
WIN_IMAGE_ACTION|Actie:
WIN_IMAGE_ACTION_TIP|Actie bij een klik op de afbeelding.
WIN_IMAGE_ACTION2|Dubbelklik actie:
WIN_IMAGE_ACTION2_TIP|Actie bij een dubbelklik op de afbeelding.
WIN_IMAGE_ATTR|Afbeeldingsattributen

#Group
WIN_GROUP_TITLE|Groepinstellingen

#Panel
WIN_PANEL_TITLE|Paneelinstellingen
WIN_PANEL_DIMENSIONS|Dimensies
WIN_PANEL_WIDTH|Breedte*:
WIN_PANEL_HEIGHT|Hoogte*:

#Playtree
WIN_PLAYTREE_TITLE|Afspeellijstinstellingen
WIN_PLAYTREE_FONT|Lettertype*:
WIN_PLAYTREE_BGIMAGE|Achtergrondafbeelding:
WIN_PLAYTREE_BGIMAGE_TIP|ID van een Bitmap, gebruikt als achtergrondafbeelding. Als geen bitmap opgegeven is, zal de achtergrond gevuld worden met de bgcolor1 en bgcolor2 attributen.
WIN_PLAYTREE_BGCOLOR1|Achtergrondkleur #1:
WIN_PLAYTREE_BGCOLOR2|Achtergrondkleur #2:
WIN_PLAYTREE_SELCOLOR|Selectiekleur:
WIN_PLAYTREE_FGCOLOR|Tekstkleur:
WIN_PLAYTREE_PLAYCOLOR|Tekstkleur bij afspelen:
WIN_PLAYTREE_FLAT|Platte afspeellijst:
WIN_PLAYTREE_FLAT_TIP|Geeft aan of de afspeellijst een boomstructuur moet hebben of compleet \"plat\" (alleen de bladeren van de boom weergeven) moet zijn
WIN_PLAYTREE_ITEMIMAGE|Item icoon:
WIN_PLAYTREE_OPENIMAGE|Open map icoon:
WIN_PLAYTREE_CLOSEDIMAGE|Gesloten map icoon:
WIN_PLAYTREE_SLIDER|Bewerk schuiver van afspeellijst (scrollbalk)
WIN_PLAYTREE_ATTR|Afspeellijstattributen
WIN_PLAYTREE_CHOOSE|Kiezen...
WIN_PLAYTREE_CHOOSER_TITLE|Kies kleur

#Slider
WIN_SLIDER_TITLE|Schuiverinstellingen
WIN_SLIDER_UP|Normale afbeelding*:
WIN_SLIDER_OVER|Afbeelding bij muis erover:
WIN_SLIDER_DOWN|Afbeelding bij geklik:
WIN_SLIDER_POINTS|Punten*:
WIN_SLIDER_THICKNESS|Dikte:
WIN_SLIDER_VALUE|Waarde*:
WIN_SLIDER_VALUE_SCROLL|Afspeellijst scrollen
WIN_SLIDER_BG_ENABLE|Achtergrond activeren
WIN_SLIDER_BG_EDIT|Bewerken...
WIN_SLIDER_ATTR|Schuiverattributen
WIN_SLIDER_BG|Schuiverachtergrond

#Slider background
WIN_SBG_TITLE|Schuiverachtergrondinstellingen
WIN_SBG_WIZARD|Open schuiverachtergrond generator...
WIN_SBG_IMAGE|Afbeelding*:
WIN_SBG_NBHORIZ|Horizontale frames:
WIN_SBG_NBVERT|Verticale frames:
WIN_SBG_PADHORIZ|Horizontale marge:
WIN_SBG_PADVERT|Verticale marge:
WIN_SBG_ATTR|Achtergrondattributen

#Text
WIN_TEXT_TITLE|Tekstinstellingen
WIN_TEXT_TEXT|Tekst*:
WIN_TEXT_FONT|Lettertype:
WIN_TEXT_COLOR|Kleur:
WIN_TEXT_CHOOSE|Kiezen...
WIN_TEXT_CHOOSER_TITLE|Kies een tekstkleur
WIN_TEXT_ALIGNMENT|Uitlijning:
WIN_TEXT_SCROLLING|Scrollen:
WIN_TEXT_ATTR|Tekstattributen

#Video
WIN_VIDEO_TITLE|Video-instellingen
WIN_VIDEO_AUTORESIZE|Autoschaling:
WIN_VIDEO_AUTORESIZE_TIP|Geeft aan of de layout automatisch geschaald moet worden zodat deze binnen de dimensies van de afspelende video past.
WIN_VIDEO_ATTR|Video-attributen
