#French language file for VLC Skin Editor
#Author/s: Alex64

#General strings
CHOICE_YES|Oui
WIN_ANCHOR_POINTS_TIP|Points définissant la courbe de Bézier suivie par l'ancre. Vous n'avez pas besoin de modifier ce paramètre si tout que vous voulez est un point d'ancrage ponctuel.
WIN_ANCHOR_RANGE|Gamme:
WIN_ANCHOR_RANGE_TIP|Gamme de l'ancre de la zone d'effet, en pixels.
WIN_ANCHOR_PRIORITY|Priorité*:
WIN_ANCHOR_PRIORITY_TIP|Chaque point d'ancrage a une priorité (attribut de priorité), et l'ancre avec la plus grande priorité est gagnante, ce qui signifie que lorsque vous déplacez une fenêtre toutes les autres fenêtres ancrées se déplacent aussi. Pour stopper l'effet de 2 fenêtres ancrées, vous avez besoin de déplacer la fenêtre dont le point d'ancrage a la plus faible priorité.
WIN_ANCHOR_BOUNDARIES|Limites

#Button
WIN_BUTTON_TITLE|Paramètres de bouton
WIN_BUTTON_UP|Image normale*:
WIN_BUTTON_OVER|Image survolée:
WIN_BUTTON_DOWN|Image cliquée:
WIN_BUTTON_ACTION|Action:
WIN_BUTTON_ATTR|Attributs de bouton

#Checkbox
WIN_CHECKBOX_TITLE|Paramètres de case à cocher
WIN_CHECKBOX_UP|Image normale*:
WIN_CHECKBOX_OVER|Image survolée:
WIN_CHECKBOX_DOWN|Image cliquée:
WIN_CHECKBOX_ACTION|Action:
WIN_CHECKBOX_CONDITION|Condition:
WIN_CHECKBOX_CONDITION_TIP|Expression booléenne indiquant l'état de la case à cocher: faux -> état #1, vrai -> état #2
WIN_CHECKBOX_STATE|État de case à cocher
WIN_CHECKBOX_STATE1|Etat #1 (La condition n'est pas remplie):
WIN_CHECKBOX_STATE2|Etat #2 (La condition est pas remplie):

#Image
WIN_IMAGE_TITLE|Paramètres image
WIN_IMAGE_IMAGE|Image*:
WIN_IMAGE_IMAGE_TIP|ID du Bitmap
WIN_IMAGE_RESIZE|Mode Redimension:
WIN_IMAGE_RESIZE_TIP|Spécifiez le comportement de l'image quand elle est redimensionnée.
WIN_IMAGE_ACTION|Action:
WIN_IMAGE_ACTION_TIP|Action déclenchée par un clic sur l'image.
WIN_IMAGE_ACTION2|Action du double-clic:
WIN_IMAGE_ACTION2_TIP|Action déclenchée par un double-clic sur l'image.
WIN_IMAGE_ATTR|Attributs de l'image

#Group
WIN_GROUP_TITLE|Paramètres du groupe

#Panel
WIN_PANEL_TITLE|Paramètres du panneau
WIN_PANEL_DIMENSIONS|Dimensions
WIN_PANEL_WIDTH|Largeur*:
WIN_PANEL_HEIGHT|Hauteur*:

#Playtree
WIN_PLAYTREE_TITLE|Paramètres ordre de lecture
WIN_PLAYTREE_FONT|Police*:
WIN_PLAYTREE_BGIMAGE|Image d'arrière-plan:
WIN_PLAYTREE_BGIMAGE_TIP|ID du Bitmap, utilisé par l'image d'arrière-plan. En l'absence de bitmap spécifié, l'arrière-plan sera rempli en utilisant les attributs de couleurs de fonds 1 et 2.
WIN_PLAYTREE_BGCOLOR1|Couleur arrière-plan #1:
WIN_PLAYTREE_BGCOLOR2|Couleur arrière-plan #2:
WIN_PLAYTREE_SELCOLOR|Couleur de sélection:
WIN_PLAYTREE_FGCOLOR|Couleur texte:
WIN_PLAYTREE_PLAYCOLOR|Couleur texte en lecture:
WIN_PLAYTREE_FLAT|Liste de lecture plate:
WIN_PLAYTREE_FLAT_TIP|Indique si la liste de lecture doit utiliser la structure de l'arbre ou être complètement \"plat"\ (n'affiche que les feuilles de l'arbre).
WIN_PLAYTREE_ITEMIMAGE|Icône élément:
WIN_PLAYTREE_OPENIMAGE|Icône de dossier ouvert:
WIN_PLAYTREE_CLOSEDIMAGE|Icône de dossier fermé:
WIN_PLAYTREE_SLIDER|Editer le curseur de la Liste de lecture (barre de défilement)
WIN_PLAYTREE_ATTR|Attributs ordre de lecture
WIN_PLAYTREE_CHOOSE|Choisir...
WIN_PLAYTREE_CHOOSER_TITLE|Choisir la couleur

#Slider
WIN_SLIDER_TITLE|Paramètres de curseur
WIN_SLIDER_UP|Image normale*:
WIN_SLIDER_OVER|Survol d'image:
WIN_SLIDER_DOWN|Clic sur image:
WIN_SLIDER_POINTS|Points*:
WIN_SLIDER_THICKNESS|Epaisseur:
WIN_SLIDER_VALUE|Valeur*:
WIN_SLIDER_VALUE_SCROLL|Ordre de défilement
WIN_SLIDER_BG_ENABLE|Activer l'Arrière-Plan
WIN_SLIDER_BG_EDIT|Edition...
WIN_SLIDER_ATTR|Attributs du curseur
WIN_SLIDER_BG|Arrière-Plan du curseur

#Slider background
WIN_SBG_TITLE|Paramètres de l'Arrière-Plan du Curseur
WIN_SBG_WIZARD|Ouvrir le Générateur d'Arrière-Plan du Cuseur...
WIN_SBG_IMAGE|Image*:
WIN_SBG_NBHORIZ|Cadres horizontaux:
WIN_SBG_NBVERT|Cadres verticaux:
WIN_SBG_PADHORIZ|Horizontal padding:
WIN_SBG_PADVERT|Vertical padding:
WIN_SBG_ATTR|Attributs de l'arrière-plan

#Text
WIN_TEXT_TITLE|Paramètres du texte
WIN_TEXT_TEXT|Texte*:
WIN_TEXT_FONT|Police:
WIN_TEXT_COLOR|Couleur:
WIN_TEXT_CHOOSE|Choisir...
WIN_TEXT_CHOOSER_TITLE|Choisir la couleur du texte
WIN_TEXT_ALIGNMENT|Alignement:
WIN_TEXT_SCROLLING|Défilement:
WIN_TEXT_ATTR|Attributs du texte

#Video
WIN_VIDEO_TITLE|Paramètres de la vidéo
WIN_VIDEO_AUTORESIZE|Auto-Redimentionner:
WIN_VIDEO_AUTORESIZE_TIP|Indique si la structure doit être automatiquement redimensionné pour s'adapter aux dimensions de la vidéo en lecture.
WIN_VIDEO_ATTR|Attributs vidéo
