#Spanish language file for VLC Skin Editor
#Author/s: Joseph S.

#General strings
CHOICE_YES|Sí
WIN_ANCHOR_PRIORITY|Prioridad*:
WIN_ANCHOR_PRIORITY_TIP|Cada ancla tiene una prioridad (atributo de prioridad), y el ancla con la prioridad más alta es el ganador, lo que significa que cuando se mueve su ventana todas las demás ventanas ancladas también se moverán. Para quitar el efecto de 2 ventanas ancladas, debe mover la ventana cuya ancla tiene la menor prioridad.
WIN_ANCHOR_BOUNDARIES|Límites

#Button
WIN_BUTTON_TITLE|Configuración de botón
WIN_BUTTON_UP|Imagen normal*:
WIN_BUTTON_OVER|Imagen al apuntar:
WIN_BUTTON_DOWN|Imagen al hacer clic:
WIN_BUTTON_ACTION|Acción:
WIN_BUTTON_ATTR|Atributos de botón

#Checkbox
WIN_CHECKBOX_TITLE|Configuración de casilla de verificación
WIN_CHECKBOX_UP|Imagen normal*:
WIN_CHECKBOX_OVER|Imagen al apuntar:
WIN_CHECKBOX_DOWN|Imagen al hacer clic:
WIN_CHECKBOX_ACTION|Acción:
WIN_CHECKBOX_CONDITION|Condición:
WIN_CHECKBOX_CONDITION_TIP|Expresión booleana especificando el estado de la casilla: false -> estado #1, true -> estado #2
WIN_CHECKBOX_STATE|Estado de la casilla
WIN_CHECKBOX_STATE1|Estado #1 (Condición no se cumple):
WIN_CHECKBOX_STATE2|Estado #2 (Condición se cumple):

#Image
WIN_IMAGE_TITLE|Configuración de imagen
WIN_IMAGE_IMAGE|Imagen*:
WIN_IMAGE_IMAGE_TIP|ID de Bitmap
WIN_IMAGE_RESIZE|Modo de redimensionamiento:
WIN_IMAGE_RESIZE_TIP|Especifique el comportamiento de la imagen al redimensionarla.
WIN_IMAGE_ACTION|Acción:
WIN_IMAGE_ACTION_TIP|Acción producida por un clic en la imagen.
WIN_IMAGE_ACTION2|Acción para doble clic:
WIN_IMAGE_ACTION2_TIP|Acción producida por doble clic en la imagen.
WIN_IMAGE_ATTR|Atributos de imagen

#Group
WIN_GROUP_TITLE|Propiedades de grupo

#Panel
WIN_PANEL_TITLE|Configuración de panel
WIN_PANEL_DIMENSIONS|Dimensiones
WIN_PANEL_WIDTH|Ancho*:
WIN_PANEL_HEIGHT|Alto*:

#Playtree
WIN_PLAYTREE_TITLE|Configuración de árbol de reproducción
WIN_PLAYTREE_FONT|Fuente*:
WIN_PLAYTREE_BGIMAGE|Imagen de fondo:
WIN_PLAYTREE_BGIMAGE_TIP|ID de Bitmap, usado como imagen de fondo. Cuando no se especifica un bitmap, el fondo se rellenará usando los atributos bgcolor1 y bgcolor2.
WIN_PLAYTREE_BGCOLOR1|Color de fondo #1:
WIN_PLAYTREE_BGCOLOR2|Color de fondo #2:
WIN_PLAYTREE_SELCOLOR|Color de selección:
WIN_PLAYTREE_FGCOLOR|Color de texto:
WIN_PLAYTREE_PLAYCOLOR|Color de texto de reproducción:
WIN_PLAYTREE_FLAT|Lista de reproducción plana:
WIN_PLAYTREE_FLAT_TIP|Indica si la lista de reproducción debe usar la estructura de árbol o ser completamente \"plana\" (sólo muestra las hojas del árbol).**
WIN_PLAYTREE_ITEMIMAGE|Icono de elemento:
WIN_PLAYTREE_OPENIMAGE|Icono de Abrir carpeta:
WIN_PLAYTREE_CLOSEDIMAGE|Icono de carpeta cerrada:
WIN_PLAYTREE_SLIDER|Editar barra de desplazamiento de la lista de reproducción
WIN_PLAYTREE_ATTR|Atributos de árbol de reproducción
WIN_PLAYTREE_CHOOSE|Elegir...
WIN_PLAYTREE_CHOOSER_TITLE|Elegir color

#Slider
WIN_SLIDER_TITLE|Configuración de barra de desplazamiento
WIN_SLIDER_UP|Imagen normal*:
WIN_SLIDER_OVER|Imagen al apuntar:
WIN_SLIDER_DOWN|Imagen al hacer clic:
WIN_SLIDER_POINTS|Puntos*:
WIN_SLIDER_THICKNESS|Grosor:
WIN_SLIDER_VALUE|Valor*:
WIN_SLIDER_VALUE_SCROLL|Desplazamiento de árbol de reproducción
WIN_SLIDER_BG_ENABLE|Habilitar fondo
WIN_SLIDER_BG_EDIT|Editar...
WIN_SLIDER_ATTR|Atributos de barra de desplazamiento
WIN_SLIDER_BG|Fondo de barra de desplazamiento

#Slider background
WIN_SBG_TITLE|Configuración de fondo de barra de desplazamiento
WIN_SBG_WIZARD|Abrir generador de fondo de barra de desplazamiento...
WIN_SBG_IMAGE|Imagen*:
WIN_SBG_NBHORIZ|Fotogramas horizontales:
WIN_SBG_NBVERT|Fotogramas verticales:
WIN_SBG_PADHORIZ|Margen horizontal:
WIN_SBG_PADVERT|Margen vertical:
WIN_SBG_ATTR|Atributos de fondo

#Text
WIN_TEXT_TITLE|Configuración de texto
WIN_TEXT_TEXT|Texto*:
WIN_TEXT_FONT|Fuente:
WIN_TEXT_COLOR|Color:
WIN_TEXT_CHOOSE|Elegir...
WIN_TEXT_CHOOSER_TITLE|Elegir color de texto
WIN_TEXT_ALIGNMENT|Alineación:
WIN_TEXT_SCROLLING|Desplazamiento:
WIN_TEXT_ATTR|Atributos de texto

#Video
WIN_VIDEO_TITLE|Configuración de video
WIN_VIDEO_AUTORESIZE|Auto-redimensionar:
WIN_VIDEO_AUTORESIZE_TIP|Indicar si el estilo debe redimensionarse automáticamente para encajar con las dimensiones del video reproducido.
WIN_VIDEO_ATTR|Atributos de video
