#Brazilian Portuguese language file for VLC Skin Editor
#Author/s: Sidney Doria

#General strings
CHOICE_YES|Sim
WIN_ANCHOR_RANGE_TIP|Faixa de área de efeito da âncora, em pixels.
WIN_ANCHOR_PRIORITY|Prioridade*:
WIN_ANCHOR_PRIORITY_TIP|Cara âncora tem uma prioridade (atributo prioridade), e a âncora com maior prioridade é a vencedora, o que significa que quando sua janela for movida, todas as outras janelas ancoradas também serão movidas também. Para evitar o efeito de duas janelas ancoradas, é preciso mover a janela que tem a âncora com menor prioridade.
WIN_ANCHOR_BOUNDARIES|Limites

#Button
WIN_BUTTON_TITLE|Configurações de botão
WIN_BUTTON_UP|Imagem normal*:
WIN_BUTTON_OVER|Imagem quando apontado:
WIN_BUTTON_DOWN|Imagem quando clicado:
WIN_BUTTON_ACTION|Ação:
WIN_BUTTON_ATTR|Atributos de Botão

#Checkbox
WIN_CHECKBOX_TITLE|Configurações de Marcador
WIN_CHECKBOX_UP|Imagem normal*:
WIN_CHECKBOX_OVER|Imagem quando apontado:
WIN_CHECKBOX_DOWN|Imagem quando clicado:
WIN_CHECKBOX_ACTION|Ação:
WIN_CHECKBOX_CONDITION|Condição:
WIN_CHECKBOX_CONDITION_TIP|Expressão booleana especificando o estado do marcador: falso -> estado No 1, verdadeiro -> estado No 2
WIN_CHECKBOX_STATE|Estado do marcador
WIN_CHECKBOX_STATE1|Estado No 1 (A condição não foi satisfeita):
WIN_CHECKBOX_STATE2|Estado No 2 (A condição foi satisfeita):

#Image
WIN_IMAGE_TITLE|Configuração de imagem
WIN_IMAGE_IMAGE|Imagem*:
WIN_IMAGE_IMAGE_TIP|Identificador de um Bitmap
WIN_IMAGE_RESIZE|Modo de redimensionamento:
WIN_IMAGE_RESIZE_TIP|Especifica o comportamento da imagem quando estiver sendo redimensionada.
WIN_IMAGE_ACTION|Ação:
WIN_IMAGE_ACTION_TIP|Ação iniciada por um clique na imagem.
WIN_IMAGE_ACTION2|Ação do duplo-clique:
WIN_IMAGE_ACTION2_TIP|Ação iniciada por um duplo-clique na imagem.
WIN_IMAGE_ATTR|Atributos da imagem

#Group
WIN_GROUP_TITLE|Configurações de Grupo

#Panel
WIN_PANEL_TITLE|Configurações de painel
WIN_PANEL_DIMENSIONS|Dimensões
WIN_PANEL_WIDTH|Largura*:
WIN_PANEL_HEIGHT|Altura*:

#Playtree
WIN_PLAYTREE_TITLE|Configurações de árvore de reprodução
WIN_PLAYTREE_FONT|Fonte*:
WIN_PLAYTREE_BGIMAGE|Imagem de plano de fundo:
WIN_PLAYTREE_BGIMAGE_TIP|ID de um Bitmap, usado como imagem de plano de fundo. Quando nenhum bitmap é especificado, o plano de fundo é preenchido usando os atributos bgcolor1 e bgcolor2.
WIN_PLAYTREE_BGCOLOR1|Cor de fundo No 1:
WIN_PLAYTREE_BGCOLOR2|Cor de fundo No 2:
WIN_PLAYTREE_SELCOLOR|Cor de seleção:
WIN_PLAYTREE_FGCOLOR|Cor do texto:
WIN_PLAYTREE_PLAYCOLOR|Cor do texto de reprodução:
WIN_PLAYTREE_FLAT|Lista de reprodução plana:
WIN_PLAYTREE_FLAT_TIP|Indica se a lista de reprodução deve usar a estrutura de árvore ou ser completamente \"plana\" (mostra somente as folhas da árvore).
WIN_PLAYTREE_ITEMIMAGE|Ícone do item:
WIN_PLAYTREE_OPENIMAGE|Ícone de abrir pasta:
WIN_PLAYTREE_CLOSEDIMAGE|Ícone de pasta fechada:
WIN_PLAYTREE_SLIDER|Barra de rolagem de edição da lista de reprodução
WIN_PLAYTREE_ATTR|Atributos de árvore de reprodução
WIN_PLAYTREE_CHOOSE|Escolher...
WIN_PLAYTREE_CHOOSER_TITLE|Escolha a cor

#Slider
WIN_SLIDER_TITLE|Configurações de barra de rolagem
WIN_SLIDER_UP|Imagem normal*:
WIN_SLIDER_OVER|Imagem quando apontado:
WIN_SLIDER_DOWN|Imagem quando clicado:
WIN_SLIDER_POINTS|Pontos*:
WIN_SLIDER_THICKNESS|Sensibilidade:
WIN_SLIDER_VALUE|Valor*:
WIN_SLIDER_VALUE_SCROLL|Rolagem da árvore
WIN_SLIDER_BG_ENABLE|Habilitar plano de fundo
WIN_SLIDER_BG_EDIT|Editar...
WIN_SLIDER_ATTR|Atributos de barra de rolagem
WIN_SLIDER_BG|Barra de rolagem de plano de fundo

#Slider background
WIN_SBG_TITLE|Configurações de barra de rolagem de plano de fundo
WIN_SBG_WIZARD|Abrir Gerador de Barra de Rolagem de Fundo...
WIN_SBG_IMAGE|Imagem*:
WIN_SBG_NBHORIZ|Lado-a-lado horizontal:
WIN_SBG_NBVERT|Lado-a-lado vertical:
WIN_SBG_PADHORIZ|Em cascata horizontal:
WIN_SBG_PADVERT|Em cascata vertical:
WIN_SBG_ATTR|Atributos de plano de fundo

#Text
WIN_TEXT_TITLE|Configurações de texto
WIN_TEXT_TEXT|Texto*:
WIN_TEXT_FONT|Fonte:
WIN_TEXT_COLOR|Cor:
WIN_TEXT_CHOOSE|Escolher...
WIN_TEXT_CHOOSER_TITLE|Escolhe a cor do texto
WIN_TEXT_ALIGNMENT|Alinhamento:
WIN_TEXT_SCROLLING|Rolagem:
WIN_TEXT_ATTR|Atributos de texto

#Video
WIN_VIDEO_TITLE|Configurações de vídeo
WIN_VIDEO_AUTORESIZE|Redimensionar automaticamente:
WIN_VIDEO_AUTORESIZE_TIP|Indica que leioute deverá ser redimensionado automaticamente para encaixar nas dimensões do vídeo em reprodução.
WIN_VIDEO_ATTR|Atributos de vídeo
